user_id,mss_length,maturity_store_segment
1194,250,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""3208"",""A6"",""A15""]"
1196,229,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1881"",""1962"",""1971"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3196"",""3263"",""A6"",""A15""]"
1242,232,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1881"",""1962"",""1967"",""1971"",""2074"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3263"",""A6"",""A10"",""TAO_D11""]"
1249,257,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1849"",""1881"",""1962"",""1965"",""1967"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""3208"",""A6"",""A15""]"
1299,222,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1965"",""1969"",""1971"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3263"",""A6"",""A15""]"
1309,215,"[""1168"",""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1850"",""1881"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""3829"",""A6"",""A15""]"
1327,265,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3196"",""3263"",""A6""]"
1328,209,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1849"",""1881"",""1962"",""1971"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3263"",""A6""]"
1336,246,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1881"",""1962"",""1971"",""2004"",""2074"",""2107"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6"",""A10"",""TAO_D11""]"
1358,253,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3263"",""A6"",""A10"",""TAO_D11""]"
1359,252,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6"",""A9"",""SAO_D11""]"
1430,251,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6""]"
1654,264,"[""1168"",""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3194"",""3961"",""3982"",""4003"",""A6"",""A15""]"
1656,229,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6"",""A11""]"
1671,257,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6"",""A15""]"
1697,230,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3194"",""3961"",""3982"",""4003"",""A6""]"
1732,271,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1965"",""1969"",""1971"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2461"",""2480"",""2708"",""2726"",""2769"",""3263"",""3649"",""3670"",""A5"",""A13""]"
1748,216,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""A6""]"
1804,230,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6""]"
1858,230,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1967"",""1971"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3263"",""A6""]"
2521,274,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""A6"",""A10"",""TAO_D11""]"
2531,230,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2717"",""2726"",""A6""]"
2548,274,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6"",""A10"",""TAO_D11""]"
2574,250,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2717"",""2726"",""3190"",""3194"",""3961"",""3982"",""4003"",""A6"",""A15""]"
2606,223,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""3208"",""A6""]"
5049,230,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""A6""]"
5216,268,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""2769"",""3263"",""A6"",""SAO_D11""]"
5278,222,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1881"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2717"",""2726"",""A6"",""A15""]"
5491,240,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1971"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3263"",""A6"",""TAO_D11""]"
5497,246,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6"",""A15"",""SAO_D11""]"
5501,253,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6"",""A15"",""TAO_D11""]"
5604,236,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6"",""A15""]"
5628,237,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6""]"
5655,208,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1881"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2717"",""2726"",""A6"",""A15""]"
5656,275,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6"",""TAO_D11""]"
5682,226,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2074"",""2107"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3263"",""A6"",""TAO_D11""]"
5689,254,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""A6"",""SAO_D11""]"
5694,237,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1967"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6""]"
5719,271,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1847"",""1849"",""1881"",""1962"",""1970"",""2074"",""2077"",""2078"",""2129"",""2165"",""2167"",""2173"",""2237"",""2245"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""2755"",""3190"",""3194"",""3207"",""3263"",""3829"",""3961"",""3982"",""4003"",""A6"",""A15""]"
5728,285,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1969"",""1971"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3194"",""3263"",""3829"",""3961"",""3982"",""4003"",""A6"",""A15""]"
5815,240,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1971"",""2004"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""A6"",""TAO_D11""]"
5829,228,"[""1168"",""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6"",""A9""]"
5833,237,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6""]"
5851,223,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""A6""]"
5917,215,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2016"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6"",""A15""]"
5979,260,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""2769"",""3263"",""A6"",""A15"",""TAO_D11""]"
6007,249,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2448"",""2457"",""2708"",""2726"",""3189"",""3193"",""3961"",""3982"",""4003"",""A6"",""A15"",""A16""]"
6010,237,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6""]"
6048,244,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""3190"",""3196"",""A6""]"
6066,226,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1969"",""1971"",""2004"",""2074"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2708"",""2726"",""A6"",""TAO_D11""]"
